name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Casio - Youth - F - 91WM - 7ADF,Youth,"
      Casio","EGP 1,375.00",Unisex,China,Quartz,Resin,Resin,Acrylic,F-91WM-7ADF
Casio - General - MTP - 1302D - 7A2VDF,General,"
      Casio","EGP 3,350.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1302D-7A2VDF
Lacoste - Rider - 2030044,Rider,"
      Lacoste","EGP 4,530.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2030044
Casio - General - MTP - 1314L - 8AVDF,General,"
      Casio","EGP 2,695.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-1314L-8AVDF
Casio - General - MTP - VD300 - 1BUDF,General,"
      Casio","EGP 3,495.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,MTP-VD300-1BUDF
Casio - General - MTP - VT01L - 1B2UDF,General,"
      Casio","EGP 2,295.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-1B2UDF
Casio - General - MTP - V005L - 1B4UDF,General,"
      Casio","EGP 1,775.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-V005L-1B4UDF
Casio - General - MTP - VD01D - 2EVUDF,General,"
      Casio","EGP 2,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VD01D-2EVUDF
Casio - Vintage - B640WGG - 9DF,Vintage,"
      Casio","EGP 4,795.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,B640WGG-9DF
Lacoste - Lacoste.12.12 - 2010985,Lacoste.12.12,"
      Lacoste","EGP 5,900.00",Unisex,China,Quartz,Resin,Silicone,Mineral,2010985
Casio - G - Shock - GA - 400HR - 1ADR,G-Shock,"
      Casio","EGP 9,695.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-400HR-1ADR
Casio - Vintage - A159WGEA - 1DF,Casio,"
      Vintage","EGP 4,195.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,A159WGEA-1DF
Casio - G - Shock - GG - B100 - 1ADR,G-Shock,Unknown,"EGP 27,795.00",Unisex,China,Unknown,Resin,Resin,Mineral,GG-B100-1ADR
Casio - General - MTP - 1375D - 1AVDF,General,"
      Casio","EGP 4,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral Glass,MTP-1375D-1AVDF
Casio - General - MTP - VT01L - 7B1UDF,General,"
      Casio","EGP 2,395.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-7B1UDF
Casio - General - MTP - V005D - 2B4UDF,General,"
      Casio","EGP 1,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V005D-2B4UDF
Casio - General - MTP - VT01D - 1B2UDF,General,"
      Casio","EGP 2,495.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VT01D-1B2UDF
Casio - General - LRW - 200HS - 7EVDF,General,"
      Casio","EGP 3,095.00",Women,China,Quartz,Resin,Resin,Mineral,LRW-200HS-7EVDF
Casio - General - MTP - VD01 - 3EVUDF,General,"
      Casio","EGP 2,695.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,MTP-VD01-3EVUDF
Casio - General - MTP - 1375L - 7AVDF,General,"
      Casio","EGP 4,595.00",Men,China,Quartz,Stainless Steel,Leather,Mineral Glass,MTP-1375L-7AVDF
Casio - Youth - LRW - 200H - 1BVDF,Youth,"
      Casio","EGP 1,925.00",Women,China,Quartz,Resin,Resin,Mineral,LRW-200H-1BVDF
Casio - General - LTP - VT01D - 1BUDF,General,"
      Casio","EGP 2,875.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-VT01D-1BUDF
Casio - General - MWA - 100H - 1A2VDF,General,"
      Casio","EGP 3,795.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,MWA-100H-1A2VDF
D1 Milano - Cloudburst - PCBJ11,Cloudburst,"
      D1 Milano","EGP 10,990.00",Men,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating",Mineral with Anti-Reflective Coating,PCBJ11
Casio - General - LA670WA - 7DF,General,"
      Casio","EGP 2,625.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LA670WA-7DF
Casio - General - MTP - V005L - 7B4UDF,General,"
      Casio","EGP 1,675.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-V005L-7B4UDF
Casio - General - MTP - VT01L - 1BUDF,General,"
      Casio","EGP 2,395.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-1BUDF
Casio - General - MTP - V002D - 7B3UDF,General,"
      Casio","EGP 2,225.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V002D-7B3UDF
Casio - General - WS - 1500H - 3BVDF,General,"
      Casio","EGP 2,675.00",Men,China,Quartz,Resin,Resin,Mineral,WS-1500H-3BVDF
Casio - G - Shock - GM - 110G - 1A9DR,G-Shock,"
      Casio","EGP 18,995.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,GM-110G-1A9DR
Casio - General - MTP - VD300 - 5BUDF,General,"
      Casio","EGP 3,595.00",Unisex,China,Quartz,Stainless Steel,Rubber,Mineral,MTP-VD300-5BUDF
Casio - General - MTP - V005D - 1B4UDF,General,"
      Casio","EGP 1,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V005D-1B4UDF
Casio - General - WS - 1500H - 5BVDF,General,"
      Casio","EGP 2,675.00",Men,China,Quartz,Resin,Resin,Mineral,WS-1500H-5BVDF
Frederique Constant - Heart Beat - FC - 310B4NH6B,Heart Beat,"
      Frederique Constant","EGP 112,850.00",Men,Switzerland,Automatic,Stainless Steel,Stainless Steel,Mineral,FC-310B4NH6B
Casio - General - W - 219HB - 3AVDF,General,"
      Casio","EGP 2,375.00",Men,China,Quartz,Resin,Cloth Band,Mineral,W-219HB-3AVDF
Casio - General - MTP - VT01L - 7B2UDF,General,"
      Casio","EGP 2,395.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VT01L-7B2UDF
Tommy Hilfiger - Ladies Gift Set - 277.0152,Ladies Gift Set,"
      Tommy Hilfiger","EGP 12,805.00",Women,China,Quartz,Stainless Steel,Silicone,Mineral,277.0152
Casio - G - Shock - GBM - 2100 - 1ADR,G-Shock,"
      Casio","EGP 21,495.00",Men,Unknown,Quartz,Stainless steel,Resin,Mineral,GBM-2100-1ADR
D1 Milano - Light Blue - UTBU08,Light Blue,"
      D1 Milano","EGP 22,990.00",Unisex,China,Quartz,316L Stainless Steel,"316L Stainless Steel, Brushed and Polished","Sapphire, Anti-Reflective Coating",UTBU08
D1 Milano - Chocolate - UTBJ10,Chocolate,"
      D1 Milano","EGP 23,490.00",Unisex,China,Quartz,"316L Stainless Steel, Sandblasted and Polished",Brown Stainless Steel,"Sapphire, Anti-Reflective Coating",UTBJ10
D1 Milano - Charcoal Black - PHBJ07,Charcoal Black,"
      D1 Milano","EGP 15,990.00",Men,China,Quartz,"Polycarbonate, Soft-Touch Coating","Black Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PHBJ07
Casio - G - Shock - LA680WGA - 1BDF,G-Shock,"
      Casio","EGP 4,195.00",Unisex,China,Quartz,Resin/Stainless Steel,Aluminum,Mineral,LA680WGA-1BDF
Casio - G - Shock - GA - 110RG - 7ADR,G-Shock,"
      Casio","EGP 10,450.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-110RG-7ADR
Casio - G - Shock - GA - 400GB - 1ADR,G-Shock,"
      Casio","EGP 10,495.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-400GB-1ADR
Lacoste - Lacoste.12.12 Kids - 2030001,Lacoste.12.12 Kids,Unknown,"EGP 4,500.00",Unisex,China,Unknown,Plastic,Silicone,Mineral,2030001
Casio - G - Shock - DW - 5600HR - 1DR,G-Shock,"
      Casio","EGP 7,175.00",Men,China,Quartz,Resin,Resin,Mineral,DW-5600HR-1DR
Casio - Edifice - ECB - 10P - 1ADF,Edifice,"
      Casio","EGP 12,495.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,ECB-10P-1ADF
Casio - G - Shock - GG - 1000 - 1A5DR,G-Shock,"
      Casio","EGP 22,995.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,GG-1000-1A5DR
Casio - G - Shock - GA - 700SKE - 7ADR,G-Shock,"
      Casio","EGP 7,395.00",Men,China,Quartz,Resin,Resin,Mineral Glass,GA-700SKE-7ADR
Casio - General - MTP - 1374L - 7A1VDF,General,"
      Casio","EGP 4,595.00",Men,China,Quartz,Stainless Steel,Leather,Mineral Glass,MTP-1374L-7A1VDF
Casio - Youth - F - 91WS - 2DF,Youth,"
      Casio","EGP 2,195.00",Unisex,China,Quartz,Resin,Resin,Resin,F-91WS-2DF
Casio - General - LTP - VT01D - 2BUDF,General,"
      Casio","EGP 2,595.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-VT01D-2BUDF
Casio - General - LTP - VT01D - 7BUDF,General,"
      Casio","EGP 2,595.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-VT01D-7BUDF
Casio - G - Shock - GA - 2200MFR - 5ADR,G-Shock,"
      Casio","EGP 11,495.00",Men,China,Quartz,Resin,Resin,Mineral,GA-2200MFR-5ADR
Casio - General - MTP - VT01D - 2BUDF,General,"
      Casio","EGP 2,495.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VT01D-2BUDF
Casio - General - WS - 1300H - 8AVDF,General,"
      Casio","EGP 2,595.00",Men,China,Quartz,Resin,Resin,Mineral,WS-1300H-8AVDF
Casio - General - LTP - V001D - 7BUDF,General,"
      Casio","EGP 1,675.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-V001D-7BUDF
Casio - General - MTP - 1303D - 1AVDF,General,"
      Casio","EGP 2,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1303D-1AVDF
Casio - Enticer - MTP - 1314D - 2AVDF,Enticer,"
      Casio","EGP 2,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1314D-2AVDF
Lacoste - Neocroc - 2001219,Neocroc,"
      Lacoste","EGP 6,345.00",Kids,China,Quartz,Plastic,Rubber,Mineral,2001219
Casio - General - LWS - 1200H - 7A1VDF,General,"
      Casio","EGP 2,495.00",Unisex,China,Quartz,Resin,Resin,Mineral,LWS-1200H-7A1VDF
Casio - Enticer - MTP - 1374D - 5AVDF,Enticer,"
      Casio","EGP 4,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-1374D-5AVDF
Casio - General - MTP - V001D - 1BUDF,General,"
      Casio","EGP 1,675.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V001D-1BUDF
D1 Milano - Dawn Light - PCBJ12,Dawn Light,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating",Mineral with Anti-Reflective Coating,PCBJ12
Casio - G - Shock - GM - 2100G - 1A9DR,G-Shock,"
      Casio","EGP 18,595.00",Unisex,China,Quartz,Stainless Steel,Resin,Mineral Glass,GM-2100G-1A9DR
FOSSIL - DRESS - FS5380,Unknown,Unknown,"EGP 11,995.00",Unisex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Gucci - YA126.4076,Gucci,Unknown,"EGP 65,600.00",Unisex,Switzerland,Unknown,Stainless Steel,Stainless Steel,Sapphire,YA126.4076
Casio - G - Shock - DW - 5700BBM - 1DR,G-Shock,Unknown,"EGP 7,995.00",Unisex,China,Unknown,Resin,Resin,Mineral,DW-5700BBM-1DR
Casio - G - Shock - DW - 9052GBX - 1A9DR,G-Shock,"
      Casio","EGP 5,550.00",Men,China,Quartz,Resin,Resin,Mineral,DW-9052GBX-1A9DR
Casio - G - Shock - GA - 700 - 1BDR,G-Shock,"
      Casio","EGP 7,295.00",Men,China,Quartz,Resin,Resin,Mineral,GA-700-1BDR
Casio - General - AE - 1400WH - 1AVDF,General,"
      Casio","EGP 2,795.00",Men,China,Quartz,Resin,Resin,Acrylic,AE-1400WH-1AVDF
Casio - Youth - DW - 291H - 1AVDF,Youth,"
      Casio","EGP 3,595.00",Men,China,Quartz,Resin,Resin,Mineral,DW-291H-1AVDF
Casio - G - Shock - GA - 900A - 1A9DR,G-Shock,"
      Casio","EGP 8,795.00",Men,China,Quartz,Resin,Resin,Mineral,GA-900A-1A9DR
Casio - G - Shock - GG - B100 - 1A3DR,G-Shock,Unknown,"EGP 27,795.00",Unisex,China,Unknown,Resin,Resin,Mineral,GG-B100-1A3DR
Hugo Boss - Play - HB152.0015,Play,"
      Hugo Boss","EGP 5,500.00",Men,China,Quartz,Plastic,Silicone,Mineral,HB152.0007
Casio - Youth - W - 736H - 2AVDF,Unknown,Unknown,"EGP 3,195.00",Unisex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tommy Hilfiger - Denim - 179.1745,Denim,Unknown,"EGP 7,315.00",Unisex,China,Unknown,Blue Tr90,Silicone,Mineral,179.1745
Casio - G - Shock - GA - 2100SKE - 7ADR,G-Shock,"
      Casio","EGP 7,995.00",Men,China,Quartz,Carbon / Resin,Resin,Mineral Glass,GA-2100SKE-7ADR
Tommy Hilfiger - Asher - 179.1856,Asher,"
      Tommy Hilfiger","EGP 13,360.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,179.1856
Casio - Enticer - MTP - V004D - 1B2UDF,Enticer,"
      Casio","EGP 1,995.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-V004D-1B2UDF
Casio - Youth - F - 91WS - 8DF,Youth,"
      Casio","EGP 2,195.00",Unisex,China,Quartz,Resin,Resin,Resin,F-91WS-8DF
Lacoste - Tiebraker - 2011155,Tiebraker,"
      Lacoste","EGP 10,885.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2011155
Lacoste - Tiebraker - 2011152,Tiebraker,"
      Lacoste","EGP 9,500.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011152
Tommy Hilfiger - Connor - 179.1897,Connor,"
      Tommy Hilfiger","EGP 13,725.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1897
Casio - General - LTP - VT01G - 1BUDF,General,"
      Casio","EGP 3,395.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-VT01G-1BUDF
Casio - General - LTP - V002D - 7B3UDF,General,"
      Casio","EGP 1,995.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-V002D-7B3UDF
Boss - Advise - HB153.0233,Advise,"
      Boss","EGP 6,595.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,HB153.0233
Tommy Hilfiger - Owen - 179.1968,Owen,"
      Tommy Hilfiger","EGP 13,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1968
Casio - Vintage - B640WC - 5ADF,Vintage,"
      Casio","EGP 4,250.00",Women,China,Quartz,Resin,Stainless Steel,Resin Glass,B640WC-5ADF
Casio - Edifice - EFR - 556PC - 2AVUDF,Edifice,"
      Casio","EGP 11,875.00",Men,China,Quartz,Rose Gold Plated Stainless Steel,Silicone,Mineral,EFR-556PC-2AVUDF
Casio - G - Shock - GMA - S120NP - 4ADR,G-Shock,"
      Casio","EGP 12,195.00",Women,China,Quartz,Resin,Resin,Mineral,GMA-S120NP-4ADR
Casio - G - Shock - GST - B400BD - 1A2DR,G-Shock,"
      Casio","EGP 37,795.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,GST-B400BD-1A2DR
Casio - Enticer Ladies - LTP - 1165A - 1C2DF,Enticer Ladies,"
      Casio","EGP 2,995.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-1165A-1C2DF
Casio - G - Shock - GA - 2100VB - 1ADR,G-Shock,"
      Casio","EGP 7,950.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-2100VB-1ADR
Casio - General - MTP - VD02D - 2EUDF,General,"
      Casio","EGP 2,950.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,MTP-VD02D-2EUDF
Tommy Jeans - Tokyo - 179.2000,Tokyo,"
      Tommy Jeans","EGP 6,900.00",Men,China,Quartz,Plated Stainless Steel,Rubber,Mineral,179.2000
Lacoste - Rider - 2030045,Rider,"
      Lacoste","EGP 4,530.00",Women / Kids,China,Quartz,Plastic,Silicone,Mineral,2030045
Casio - G - Shock - GX - 56MF - 1DR,G-Shock,"
      Casio","EGP 12,995.00",Men,China,Quartz,Resin,Resin,Mineral,GX-56MF-1DR
Casio - G - Shock - GA - 700MF - 1ADR,G-Shock,"
      Casio","EGP 8,495.00",Men,China,Quartz,Resin,Resin,Mineral,GA-700MF-1ADR
Casio - General - MTP - VT01G - 5BUDF,General,"
      Casio","EGP 3,395.00",Unisex,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,MTP-VT01G-5BUDF
Casio - General - LTP - VT01L - 7B3UDF,General,"
      Casio","EGP 2,395.00",Women,China,Quartz,Stainless Steel,Leather,Mineral,LTP-VT01L-7B3UDF
Casio - General - LRW - 200HS - 4EVDF,General,"
      Casio","EGP 3,095.00",Women,China,Quartz,Resin,Resin,Mineral,LRW-200HS-4EVDF
Casio - General - LRW - 200HS - 2EVDF,General,"
      Casio","EGP 3,095.00",Women,China,Quartz,Resin,Resin,Mineral,LRW-200HS-2EVDF
Casio - G - Shock - GA - 2100 - 7A7DR,Unknown,Unknown,"EGP 7,695.00",Unisex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Casio - G - Shock - GA - B2100 - 1ADR,G-Shock,"
      Casio","EGP 11,195.00",Men,China,Quartz,Resin,Resin,Mineral,GA-B2100-1ADR
Casio - General - MTP - V001GL - 7BUDF,General,"
      Casio","EGP 1,795.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-V001GL-7BUDF
Casio - General - MTP - VD01 - 5EVUDF,General,"
      Casio","EGP 2,695.00",Men,China,Quartz,Stainless Steel,Resin,Mineral,MTP-VD01-5EVUDF
Lacoste - Endurance - 2011205,Endurance,"
      Lacoste","EGP 7,900.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011205
Frederique Constant - Classics - FC - 270N4P4,Classics,"
      Frederique Constant","EGP 62,690.00",Men,Switzerland,Quartz,Stainless Steel,Leather,Mineral,FC-270N4P4
Casio - G - Shock - GM - 5600G - 9DR,G-Shock,"
      Casio","EGP 17,650.00",Unisex,China,Quartz,Stainless Steel,Resin,Mineral,GM-5600G-9DR
Lacoste - 12.12 x Netflix - 2011266,12.12 x Netflix,"
      Lacoste","EGP 5,900.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2011266
Lacoste - Le Croc - 2011133,Le Croc,"
      Lacoste","EGP 10,900.00",Men,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,2011133
Casio - G - Shock - GM - 2100C - 5ADR,G-Shock,"
      Casio","EGP 18,695.00",Men,China,Quartz,Stainless Steel,Fabric,Mineral,GM-2100C-5ADR
HUGO - Sport Casual - HB153.0283,Sport Casual,"
      Hugo Boss","EGP 12,700.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,HB153.0283
Hugo Boss - Runner - HB151.4168,Runner,"
      Hugo Boss","EGP 19,900.00",Men,China,Quartz,Plated Stainless Steel,Rubber,Mineral,HB151.4168
Hugo Boss - Lit - HB153.0343,Lit,"
      Hugo Boss","EGP 5,900.00",Men,China,Quartz,Black TR90,Silicone,Mineral,HB153.0343
Lacoste - Neocroc - 2011309,Neocroc,"
      Lacoste","EGP 5,900.00",Men,China,Quartz,Plastic,Silicone,Mineral,2011309
Lacoste - Mainsail - 2011361,Mainsail,"
      Lacoste","EGP 8,900.00",Men,China,Quartz,Stainless Steel,Silicone,Mineral,2011361
Lacoste - Mainsail - 2011382,Mainsail,"
      Lacoste","EGP 9,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2011382
Lacoste - Lisbon - 2011322,Lisbon,"
      Lisbon","EGP 7,500.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,2011322
Frederique Constant - Classics - FC - 292MC4P6,Classics,"
      Frederique Constant","EGP 47,870.00",Men,Switzerland,Quartz,Stainless Steel,Calf leather with crocodile pattern,Mineral,FC-292MC4P6
Frederique Constant - Highlife Automatic - FC - 303BL4NH6B,Highlife Automatic,"
      Frederique Constant","EGP 113,890.00",Men,Switzerland,Automatic,Stainless Steel,Stainless Steel / Rubber,Mineral,FC-303BL4NH6B
Casio - G - Shock - GM - 2110D - 2ADR,G-Shock,"
      Casio","EGP 24,795.00",Men,Unknown,Quartz,Stainless steel,Stainless Steel - One-touch 3-fold Clasp,Mineral,GM-2110D-2ADR
D1 Milano - Pure Black - CEBU01,Pure Black,"
      D1 Milano","EGP 25,990.00",Unisex,China,Quartz,Ceramic,Black Ceramic,"Sapphire, Anti-Reflective Coating",CEBU01
D1 Milano - Moss - UTBJ06,Moss,"
      D1 Milano","EGP 22,990.00",Unisex,China,Quartz,"316L Stainless Steel, Brushed and Polished",Silver Stainless Steel,"Sapphire, Anti-Reflective Coating",UTBJ06
D1 Milano - Linen - UTBJ23,Linen,"
      D1 Milano","EGP 22,990.00",Unisex,China,Quartz,"316L Stainless Steel, Brushed and Polished",Silver Stainless Steel,"Sapphire, Anti-Reflective Coating",UTBJ23
D1 Milano - Shadow - UTBJSH,Shadow,"
      D1 Milano","EGP 23,490.00",Men,China,Quartz,"316L Stainless Steel, Brushed and Polished",Black Stainless Steel,"Sapphire, Anti-Reflective Coating",UTBJSH
D1 Milano - Nebula - PCBU01,Nebula,"
      D1 Milano","EGP 10,990.00",Unisex,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBU01
D1 Milano - White Sketch - PCBJ34,White Sketch,"
      D1 Milano","EGP 13,990.00",Men,China,Quartz,"Polycarbonate, Soft-Touch Coating","Polycarbonate, Soft-Touch Coating","Mineral, Anti-Reflective Coating",PCBJ34
Casio - General - LTP - V005D - 1B2UDF,General,"
      Casio","EGP 1,850.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-V005D-1B2UDF
Tommy Hilfiger - Larson - 179.1917,Larson,"
      Tommy Hilfiger","EGP 13,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1917
Tommy Hilfiger - Mason - 179.1937,Mason,"
      Tommy Hilfiger","EGP 14,640.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1937
Tommy Hilfiger - Girls - 172.0022,Girls,"
      Tommy Hilfiger","EGP 6,405.00",Kids,China,Quartz,Stainless Steel,Silicone,Mineral,172.0022
Lacoste - Tiebreaker - 2011154,Tiebreaker,"
      Lacoste","EGP 9,500.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011154
Tommy Hilfiger - Delphine - 178.2358,Delphine,"
      Tommy Hilfiger","EGP 10,990.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,178.2358
Tommy Hilfiger - Larson - 179.1916,Larson,"
      Tommy Hilfiger","EGP 13,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,179.1916
Lacoste - Lacsote.12.12 - 2011193,Lacsote.12.12,"
      Lacoste","EGP 6,345.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2011193
Lacoste - Lacoste.12.12 - 2001227,Lacoste.12.12,"
      Lacoste","EGP 6,345.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2001227
Lacoste - Neocroc - 2011186,Neocroc,"
      Lacoste","EGP 6,345.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2011186
Lacoste - Vienna - 2070015,Vienna,"
      Lacoste","EGP 10,885.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2070015
Hugo Boss - Street Diver - HB153.0220,Street Diver,"
      Hugo Boss","EGP 8,340.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,HB153.0220
Fossil - Grant - FS4735,Grant,"
      Fossil","EGP 11,995.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,FS4735
Calvin Klein - Sport - 25200115,Sport,"
      Calvin Klein","EGP 12,270.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200115
Casio - G - Shock - DW - 5900BB - 1DR,G-Shock,"
      Casio","EGP 6,350.00",Men,China,Quartz,Resin,Resin,Mineral,DW-5900BB-1DR
Casio - Edifice - EFV - 620D - 2AVUDF,Edifice,"
      Casio","EGP 8,895.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,EFV-620D-2AVUDF
Casio - General - WS - 2100H - 1A2VDF,General,"
      Casio","EGP 3,450.00",Men,China,Quartz,Resin,Resin,Mineral,WS-2100H-1A2VDF
Calvin Klein - Iconic - 25200041,Iconic,"
      Calvin Klein","EGP 11,715.00",Unisex,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200041
Calvin Klein - Timeless - 25200047,Timeless,"
      Calvin Klein","EGP 10,060.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200047
Calvin Klein - Open Link - 25200086,Open Link,"
      Calvin Klein","EGP 13,910.00",Women,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,25200086
Calvin Klein - Sensation - 25200251,Sensation,"
      Calvin Klein","EGP 12,805.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,25200251
Tommy Hilfiger - Communion - 172.0039,Communion,"
      Tommy Hilfiger","EGP 6,405.00",Women,China,Quartz,Stainless Steel,Rubber,Mineral,172.0039
Casio - General - MTP - VD200L - 2BUDF,General,"
      Casio","EGP 3,895.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,MTP-VD200L-2BUDF
Casio - General - MTP - VD200GL - 1BUDF,General,"
      Casio","EGP 4,195.00",Men,China,Quartz,Plated Stainless Steel,Leather,Mineral,MTP-VD200GL-1BUDF
Casio - General - AE - 1500WH - 8B2VDF,General,"
      Casio","EGP 2,875.00",Unisex,China,Quartz,Resin,Resin,Mineral,AE-1500WH-8B2VDF
Casio - General - LTP - VT01GL - 1BUDF,General,"
      Casio","EGP 2,595.00",Women,China,Quartz,Stainless Steel,Leather,Mineral,LTP-VT01GL-1BUDF
Tommy Hilfiger - Samantha - 178.2498,Samantha,"
      Tommy Hilfiger","EGP 7,315.00",Women,China,Quartz,Stainless Steel,Rubber,Mineral,178.2498
Casio - General - LTP - 1165A - 1CDF,General,"
      Casio","EGP 2,895.00",Women,China,Quartz,Stainless Steel,Stainless Steel,Mineral,LTP-1165A-1CDF
Tommy Hilfiger - Kane - 179.1399,Kane,"
      Tommy Hilfiger","EGP 13,725.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,179.1399
Casio - General - DB - 360G - 9ADF,General,"
      Casio","EGP 4,850.00",Unisex,China,Quartz,Plated Stainless Steel,Plated Stainless Steel,Mineral,DB-360G-9ADF
Casio - General - AE - 1500WH - 2AVDF,General,"
      Casio","EGP 2,595.00",Men,Casio,Quartz,Resin,Resin,Resin Glass,AE-1500WH-2AVDF
Raymond Weil - Freelancer Diver - 2775.SP3.50051,Freelancer Diver,"
      Raymond Weil","EGP 111,550.00",Men,Switzerland,Mechanical self-winding movement – RW4200,Stainless steel with yellow gold PVD plating and blue ceramic bezel,Stainless steel with yellow gold PVD plating,Sapphire with antiglare treatment on both sides,2775.SP3.50051
Hugo Boss - Rase - HB153.0115,Rase,"
      Hugo Boss","EGP 7,900.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,HB153.0115
